Host,iucn
glauconycteris argentata,glauconycteris argentata
glauconycteris poensis,glauconycteris poensis
glauconycteris variegata,glauconycteris variegata
glirulus japonicus,glirulus japonicus
glis glis,glis glis
globicephala macrorhynchus,globicephala macrorhynchus
globicephala melas,globicephala melas
glossophaga commissarisi,glossophaga commissarisi
glossophaga longirostris,glossophaga longirostris
glossophaga morenoi,glossophaga morenoi
glossophaga soricina,glossophaga soricina
golunda ellioti,golunda ellioti
gorilla beringei,gorilla beringei
gorilla gorilla,gorilla gorilla
gracilinanus microtarsus,gracilinanus microtarsus
grammomys macmillani,grammomys macmillani
grammomys sp.,
grammomys surdaster,grammomys dolichurus
grampus griseus,grampus griseus
graomys griseoflavus,graomys griseoflavus
graphiurus kelleni,graphiurus kelleni
graphiurus lorraineus,graphiurus lorraineus
graphiurus microtis,graphiurus microtis
graphiurus murinus,graphiurus murinus
graphiurus ocularis,graphiurus ocularis
graphiurus platyops,graphiurus platyops
gulo gulo,gulo gulo
halichoerus grypus,halichoerus grypus
handleyomys alfaroi,handleyomys alfaroi
handleyomys fuscatus,handleyomys fuscatus
hapalemur aureus,hapalemur aureus
hapalemur griseus,hapalemur griseus
heimyscus fumosus,heimyscus fumosus
helarctos malayanus,helarctos malayanus
heliosciurus gambianus,heliosciurus gambianus
heliosciurus rufobrachium,heliosciurus rufobrachium
heliosciurus ruwenzorii,heliosciurus ruwenzorii
heliosciurus undulatus,heliosciurus undulatus
hemiechinus auritus,hemiechinus auritus
hemitragus jemlahicus,hemitragus jemlahicus
herpestes edwardsii,herpestes edwardsii
herpestes ichneumon,herpestes ichneumon
herpestes urva,herpestes urva
hesperosciurus griseus,sciurus griseus
heteromys anomalus,heteromys anomalus
heteromys pictus,heteromys pictus
hexaprotodon liberiensis,choeropsis liberiensis
hippocamelus bisulcus,hippocamelus bisulcus
hippopotamus amphibius,hippopotamus amphibius
hipposideros abae,hipposideros abae
hipposideros armiger,hipposideros armiger
hipposideros beatus,hipposideros beatus
hipposideros bicolor,hipposideros bicolor
hipposideros caffer,hipposideros caffer
hipposideros cervinus,hipposideros cervinus
hipposideros cf. ruber,hipposideros ruber
